Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Car_Age,Engine_to_Power,KM_per_Year,Mileage
2016,16000,Petrol,Automatic,First,2487.0,175.67,5.0,9,14.077092885039907,1600.0,19.16
2016,31700,Diesel,Manual,First,1364.0,87.2,5.0,9,15.46485260770975,3170.0,21.43
2014,76969,Diesel,Manual,First,1582.0,126.32,5.0,11,12.425384857053094,6414.083333333333,22.32
2015,37000,Diesel,Automatic,First,1498.0,103.2,5.0,10,14.37619961612284,3363.6363636363635,21.21
2014,23000,Petrol,Automatic,First,2496.0,179.5,5.0,11,13.828254847645429,1916.6666666666667,11.07
2014,59098,Petrol,Manual,Second,1197.0,80.0,5.0,11,14.777777777777779,4924.833333333333,17.0
2010,142299,Petrol,Manual,First,1368.0,88.76,5.0,15,15.240641711229946,8893.6875,13.07
2011,75731,Diesel,Manual,First,1399.0,68.0,5.0,14,20.27536231884058,5048.733333333334,20.0
2017,69627,Petrol,Manual,First,1197.0,81.83,5.0,8,14.451285766026801,7736.333333333333,18.6
2011,49000,Petrol,Manual,First,1596.0,99.6,5.0,14,15.864811133200796,3266.6666666666665,15.3
2015,25700,Petrol,Automatic,First,1595.0,120.7,5.0,10,13.105998356614625,2336.3636363636365,11.9
2012,80800,Petrol,Manual,First,1197.0,82.85,5.0,13,14.275491949910556,5771.428571428572,18.5
2013,110896,Diesel,Manual,First,1248.0,74.0,5.0,12,16.64,8530.461538461539,23.4
2009,62261,Petrol,Manual,First,1086.0,62.1,5.0,16,17.210776545166404,3662.4117647058824,17.92
2017,27610,Petrol,Manual,First,1197.0,83.1,5.0,8,14.23305588585018,3067.777777777778,21.4
2011,89219,Petrol,Manual,First,2354.0,180.0,5.0,14,13.005524861878452,5947.933333333333,10.2
2018,6700,Petrol,Automatic,First,1198.0,75.94,5.0,7,15.570574473615805,837.5,19.34
2011,51599,Petrol,Manual,First,998.0,67.1,5.0,14,14.654919236417035,3439.9333333333334,19.0
2013,37489,Diesel,Manual,First,1582.0,126.24,5.0,12,12.433197107827727,2883.769230769231,22.7
2016,98000,Diesel,Manual,First,1396.0,70.0,5.0,9,19.661971830985916,9800.0,17.5
2012,25183,Petrol,Manual,First,624.0,35.0,4.0,13,17.333333333333332,1798.7857142857142,26.0
2015,52100,Diesel,Automatic,Second,1995.0,190.0,5.0,10,10.44502617801047,4736.363636363636,18.12
2014,60000,Diesel,Manual,First,1498.0,98.6,5.0,11,15.040160642570282,5000.0,25.8
2013,51000,Diesel,Manual,First,1199.0,73.9,5.0,12,16.008010680907876,3923.076923076923,22.07
2012,70000,Diesel,Manual,First,1248.0,74.0,5.0,13,16.64,5000.0,22.3
2015,95000,Diesel,Manual,First,1968.0,138.13,5.0,10,14.145044203263136,8636.363636363636,17.32
2014,66346,Diesel,Manual,First,1498.0,98.6,5.0,11,15.040160642570282,5528.833333333333,26.0
2015,69150,Diesel,Manual,First,1498.0,98.6,5.0,10,15.040160642570282,6286.363636363636,25.8
2016,31000,Petrol,Manual,First,1197.0,81.83,5.0,9,14.451285766026801,3100.0,18.6
2013,49000,Diesel,Automatic,Second,1995.0,190.0,5.0,12,10.44502617801047,3769.230769230769,18.12
2014,63058,Petrol,Manual,First,1198.0,86.8,5.0,11,13.644646924829157,5254.833333333333,19.4
2016,22000,Diesel,Automatic,First,2143.0,201.15,5.0,9,10.601038832550087,2200.0,19.71
2015,73026,Petrol,Manual,First,1198.0,74.0,5.0,10,15.973333333333333,6638.727272727273,16.47
2011,21762,Petrol,Automatic,Second,1197.0,80.0,5.0,14,14.777777777777779,1450.8,19.2
2018,29738,Petrol,Manual,First,1591.0,121.3,5.0,7,13.008994276369583,3717.25,17.01
2018,16053,Petrol,Manual,First,1197.0,81.83,5.0,7,14.451285766026801,2006.625,18.6
2012,61665,Diesel,Automatic,First,2993.0,218.0,5.0,13,13.666666666666666,4404.642857142857,16.73
2015,51000,Diesel,Manual,First,1248.0,73.9,5.0,10,16.66221628838451,4636.363636363636,19.3
2016,34820,Diesel,Manual,First,1498.0,98.6,7.0,9,15.040160642570282,3482.0,21.9
2018,12000,Petrol,Manual,First,1373.0,91.1,7.0,7,14.90770901194354,1500.0,17.5
2017,32287,Diesel,Manual,First,1248.0,74.0,5.0,8,16.64,3587.4444444444443,26.59
2012,121134,Diesel,Manual,First,1364.0,93.7,5.0,13,14.667842445620222,8652.42857142857,23.59
2015,74485,Diesel,Automatic,First,1995.0,184.0,5.0,10,10.783783783783784,6771.363636363636,16.09
2011,63000,Diesel,Manual,First,936.0,57.6,5.0,14,15.972696245733788,4200.0,25.44
2018,53190,Diesel,Automatic,First,1968.0,147.51,5.0,7,13.2516328866743,6648.75,18.51
2016,26900,Diesel,Automatic,First,2987.0,224.0,7.0,9,13.275555555555556,2690.0,12.0
2015,40000,Diesel,Automatic,First,1995.0,184.0,5.0,10,10.783783783783784,3636.3636363636365,19.59
2016,40587,Petrol,Manual,First,1197.0,82.0,5.0,9,14.421686746987952,4058.7,18.9
2015,27000,Petrol,Manual,First,1197.0,82.0,5.0,10,14.421686746987952,2454.5454545454545,18.9
2016,29108,Diesel,Manual,First,1364.0,67.04,5.0,9,20.047031158142268,2910.8,23.59
2015,18000,Petrol,Manual,First,1198.0,67.0,5.0,10,17.61764705882353,1636.3636363636363,19.83
2017,10500,Petrol,Manual,First,1197.0,81.8,5.0,8,14.456521739130435,1166.6666666666667,20.89
2009,60000,Petrol,Manual,Third,998.0,66.1,5.0,16,14.873323397913563,3529.4117647058824,19.0
2011,61000,Petrol,Automatic,Third,1799.0,130.3,5.0,14,13.7014470677837,4066.6666666666665,13.9
2017,5000,Petrol,Manual,First,796.0,47.3,5.0,8,16.48033126293996,555.5555555555555,22.74
2018,24001,Diesel,Automatic,First,1999.0,177.0,5.0,7,11.230337078651685,3000.125,13.6
2011,76000,Diesel,Manual,First,1396.0,90.0,5.0,14,15.340659340659341,5066.666666666667,23.0
2014,56000,Petrol,Manual,First,999.0,123.24,5.0,11,8.040888602704443,4666.666666666667,18.88
2016,30000,Petrol,Manual,First,1198.0,82.0,5.0,9,14.433734939759036,3000.0,18.15
2017,44263,Diesel,Manual,First,1248.0,88.5,5.0,8,13.94413407821229,4918.111111111111,24.3
2011,97899,Diesel,Manual,First,1399.0,68.0,5.0,14,20.27536231884058,6526.6,20.0
2011,157301,Diesel,Manual,Second,1598.0,103.6,5.0,14,15.277246653919695,10486.733333333334,20.54
2008,135000,Diesel,Manual,First,1399.0,93.7,5.0,17,14.667842445620222,7500.0,17.8
2016,35000,Petrol,Manual,Second,1368.0,88.8,5.0,9,15.233853006681516,3500.0,14.4
2009,106000,Petrol,Manual,First,1799.0,130.0,5.0,16,13.732824427480915,6235.294117647059,13.5
2016,121590,Diesel,Manual,First,2000.0,148.0,5.0,9,13.422818791946309,12159.0,18.0
2012,64692,Petrol,Manual,First,998.0,67.04,5.0,13,14.667842445620222,4620.857142857143,22.5
2010,41000,Petrol,Manual,First,1197.0,78.9,5.0,15,14.981226533166456,2562.5,20.36
2018,25143,Diesel,Automatic,First,1498.0,108.495,5.0,7,13.680989999543357,3142.875,22.0
2011,51000,Diesel,Manual,First,1598.0,103.6,5.0,14,15.277246653919695,3400.0,20.54
2005,109000,Diesel,Manual,Second,1493.0,82.0,5.0,20,17.987951807228917,5190.476190476191,13.1
2015,69062,Diesel,Manual,First,1498.0,89.84,5.0,10,16.490532804931746,6278.363636363636,22.7
2015,34386,Diesel,Automatic,First,2179.0,187.7,5.0,10,11.547429782723901,3126.0,16.36
2016,20185,Petrol,Manual,First,1197.0,83.1,5.0,9,14.23305588585018,2018.5,21.4
2013,41585,Diesel,Manual,First,1120.0,70.0,5.0,12,15.774647887323944,3198.846153846154,24.0
2011,24000,Petrol,Manual,First,814.0,55.2,5.0,14,14.483985765124554,1600.0,21.1
2016,40000,Diesel,Automatic,First,2143.0,204.0,5.0,9,10.453658536585365,4000.0,15.0
2012,37000,Diesel,Automatic,First,2987.0,165.0,5.0,13,17.99397590361446,2642.8571428571427,0.0
2015,67630,Diesel,Manual,First,1498.0,98.96,5.0,10,14.985994397759104,6148.181818181818,23.0
2016,24192,Petrol,Automatic,First,998.0,67.04,5.0,9,14.667842445620222,2419.2,23.1
2017,32248,Diesel,Manual,First,1248.0,88.5,5.0,8,13.94413407821229,3583.1111111111113,24.3
2013,28000,Diesel,Manual,First,2179.0,120.0,8.0,12,18.00826446280992,2153.846153846154,13.0
2018,36471,Petrol,Automatic,First,1591.0,121.3,5.0,7,13.008994276369583,4558.875,14.8
2015,69689,Petrol,Manual,First,1497.0,117.3,7.0,10,12.654268808114962,6335.363636363636,17.3
2015,69095,Diesel,Automatic,First,2987.0,254.8,7.0,10,11.677091477716965,6281.363636363636,11.3
2010,46000,Petrol,Manual,First,1197.0,80.0,5.0,15,14.777777777777779,2875.0,18.5
2008,65000,Petrol,Automatic,Third,3498.0,364.9,5.0,17,9.559989068051381,3611.1111111111113,10.13
2015,119258,Diesel,Manual,First,1498.0,108.5,5.0,10,13.680365296803654,10841.636363636364,20.64
2015,38339,Diesel,Automatic,First,2143.0,201.1,5.0,10,10.603661553686294,3485.3636363636365,13.0
2012,59503,Petrol,Manual,First,1496.0,88.73,5.0,13,16.67223893903934,4250.214285714285,16.78
2010,93600,Diesel,Manual,Third,1405.0,71.0,5.0,15,19.51388888888889,5850.0,17.0
2011,58865,Petrol,Manual,First,1798.0,160.0,5.0,14,11.167701863354038,3924.3333333333335,14.3
2012,64631,Petrol,Manual,First,796.0,46.3,5.0,13,16.82875264270613,4616.5,19.7
2007,124298,Diesel,Manual,Second,1896.0,105.0,5.0,18,17.88679245283019,6542.0,17.0
2003,50000,Petrol,Manual,Second,998.0,67.1,5.0,22,14.654919236417035,2173.913043478261,18.9
2013,40001,Diesel,Manual,First,1461.0,84.8,5.0,12,17.02797202797203,3077.0,21.64
2015,62659,Petrol,Manual,First,1198.0,86.8,5.0,10,13.644646924829157,5696.272727272727,19.4
2014,68138,Petrol,Manual,First,1197.0,78.9,5.0,11,14.981226533166456,5678.166666666667,20.36
2014,34000,Diesel,Automatic,First,2143.0,203.2,5.0,11,10.494613124387856,2833.3333333333335,15.26
2013,67000,Petrol,Manual,First,1598.0,103.6,5.0,12,15.277246653919695,5153.846153846154,15.04
2015,64141,Diesel,Manual,First,1498.0,98.6,7.0,10,15.040160642570282,5831.0,24.2
2019,1000,Petrol,Manual,First,796.0,47.3,5.0,6,16.48033126293996,142.85714285714286,24.7
2013,42000,Diesel,Automatic,First,2143.0,201.1,5.0,12,10.603661553686294,3230.769230769231,13.0
2009,76677,Petrol,Manual,Third,1497.0,100.0,5.0,16,14.821782178217822,4510.411764705882,16.9
2013,66848,Diesel,Automatic,First,2967.0,246.7,5.0,12,11.978199434800162,5142.153846153846,11.8
2007,78000,Petrol,Manual,First,1086.0,62.0,5.0,18,17.238095238095237,4105.263157894737,0.0
2010,111166,Diesel,Manual,First,1248.0,73.9,5.0,15,16.66221628838451,6947.875,19.3
2007,76000,Diesel,Manual,First,1493.0,110.0,5.0,18,13.45045045045045,4000.0,18.1
2012,94049,Diesel,Automatic,First,1968.0,167.6,5.0,13,11.672597864768683,6717.785714285715,12.8
2014,47000,Diesel,Automatic,First,1995.0,184.0,5.0,11,10.783783783783784,3916.6666666666665,17.05
2006,140000,Diesel,Manual,Second,1405.0,93.7,5.0,19,14.667842445620222,7000.0,13.5
2015,20047,Petrol,Manual,First,624.0,37.48,4.0,10,16.216216216216218,1822.4545454545455,23.9
2017,16000,Diesel,Automatic,First,2993.0,261.49,5.0,8,11.402339136729017,1777.7777777777778,16.77
2012,27000,Petrol,Manual,First,1198.0,86.8,5.0,13,13.644646924829157,1928.5714285714287,18.5
2018,1001,Petrol,Manual,First,796.0,47.3,5.0,7,16.48033126293996,125.125,24.7
2010,89312,Petrol,Manual,First,1197.0,80.0,5.0,15,14.777777777777779,5582.0,17.0
1996,65000,Diesel,Manual,Second,1995.0,93.7,5.0,29,14.667842445620222,2166.6666666666665,14.1
2012,93000,Diesel,Manual,Second,1461.0,108.45,5.0,13,13.348560986751941,6642.857142857143,19.01
2013,48000,Diesel,Manual,First,1248.0,74.0,5.0,12,16.64,3692.3076923076924,23.4
2014,64917,Diesel,Manual,First,1248.0,73.75,5.0,11,16.695652173913043,5409.75,28.4
2017,19678,Petrol,Manual,First,1497.0,117.3,5.0,8,12.654268808114962,2186.4444444444443,17.8
2014,12000,Diesel,Automatic,First,2993.0,270.9,5.0,11,11.007723427730784,1000.0,14.74
2014,41309,Diesel,Automatic,First,1995.0,184.0,5.0,11,10.783783783783784,3442.4166666666665,18.88
2018,25038,Diesel,Automatic,First,1995.0,190.0,5.0,7,10.44502617801047,3129.75,21.76
2016,68673,Diesel,Manual,First,936.0,56.3,5.0,9,16.335078534031414,6867.3,25.44
2018,26343,Diesel,Automatic,First,2143.0,167.62,5.0,7,12.70904993476456,3292.875,19.27
2005,81245,Petrol,Manual,Fourth & Above,796.0,34.2,8.0,20,22.613636363636363,3868.809523809524,16.8
2012,62100,Diesel,Manual,First,1461.0,63.1,5.0,13,22.792511700468022,4435.714285714285,23.08
2013,104000,Petrol,Manual,First,1598.0,103.6,5.0,12,15.277246653919695,8000.0,15.04
2014,114831,Diesel,Automatic,First,1968.0,174.33,5.0,11,11.224547995209033,9569.25,17.68
2010,46000,Petrol,Manual,First,1368.0,88.7,5.0,15,15.250836120401337,2875.0,14.6
2014,80000,Diesel,Manual,First,1582.0,126.32,5.0,11,12.425384857053094,6666.666666666667,22.32
2016,9201,Petrol,Manual,First,1197.0,81.86,5.0,9,14.44605358435916,920.1,17.19
2013,55311,Petrol,Manual,First,1198.0,86.8,5.0,12,13.644646924829157,4254.692307692308,19.4
2015,58217,Diesel,Manual,First,1498.0,98.6,7.0,10,15.040160642570282,5292.454545454545,24.5
2013,70655,Diesel,Manual,First,2477.0,175.56,7.0,12,14.029225192569099,5435.0,13.5
2015,46000,Petrol,Manual,First,1197.0,78.9,5.0,10,14.981226533166456,4181.818181818182,20.36
2014,125000,Diesel,Manual,First,1248.0,88.8,5.0,11,13.897550111358575,10416.666666666666,21.02
2014,59000,Diesel,Manual,First,1461.0,108.45,5.0,11,13.348560986751941,4916.666666666667,19.01
2013,66000,Diesel,Automatic,Second,1582.0,126.2,5.0,12,12.437106918238994,5076.923076923077,22.0
2009,82242,Diesel,Manual,First,1248.0,73.9,5.0,16,16.66221628838451,4837.764705882353,21.1
2012,107281,Diesel,Manual,First,2494.0,102.0,8.0,13,24.21359223300971,7662.928571428572,12.8
2015,196000,Diesel,Manual,Second,1948.0,68.0,10.0,10,28.231884057971016,17818.18181818182,12.2
2015,75000,Diesel,Automatic,First,1968.0,181.0,5.0,10,10.813186813186814,6818.181818181818,15.17
2011,11791,Petrol,Manual,First,1172.0,68.0,5.0,14,16.985507246376812,786.0666666666667,16.2
2013,46000,Petrol,Manual,First,1797.0,147.5,5.0,12,12.1010101010101,3538.4615384615386,16.3
2011,81000,Diesel,Manual,Second,1199.0,73.9,5.0,14,16.008010680907876,5400.0,22.07
2015,46950,Petrol,Manual,First,1197.0,78.8,5.0,10,15.0,4268.181818181818,17.71
2017,18000,Petrol,Manual,First,1197.0,82.0,5.0,8,14.421686746987952,2000.0,18.9
2016,95942,Diesel,Manual,First,2179.0,120.0,7.0,9,18.00826446280992,9594.2,15.4
2016,42925,Petrol,Manual,First,1373.0,91.1,5.0,9,14.90770901194354,4292.5,20.73
2014,33750,Petrol,Manual,First,1196.0,70.02,5.0,11,16.840326668544073,2812.5,15.6
2016,14000,Petrol,Automatic,First,1598.0,181.0,4.0,9,8.780219780219781,1400.0,13.6
2015,29000,Diesel,Manual,First,1582.0,126.2,5.0,10,12.437106918238994,2636.3636363636365,19.67
2015,67365,Diesel,Manual,First,2179.0,140.0,7.0,10,15.453900709219859,6124.090909090909,15.1
2014,67791,Diesel,Manual,First,2179.0,140.0,7.0,11,15.453900709219859,5649.25,15.1
2016,20000,Diesel,Manual,First,2498.0,105.0,6.0,9,23.566037735849058,2000.0,16.55
2011,90198,Diesel,Manual,Second,1248.0,73.9,5.0,14,16.66221628838451,6013.2,19.3
2010,77000,Petrol,Manual,First,1086.0,68.05,5.0,15,15.727733526430123,4812.5,19.81
2017,42520,Petrol,Manual,First,1373.0,91.1,5.0,8,14.90770901194354,4724.444444444444,20.73
2009,87829,LPG,Manual,First,1061.0,57.5,5.0,16,18.136752136752136,5166.411764705882,17.3
2017,21701,Petrol,Automatic,First,1197.0,83.1,5.0,8,14.23305588585018,2411.222222222222,21.4
2008,86033,Petrol,Manual,First,796.0,46.3,5.0,17,16.82875264270613,4779.611111111111,19.7
2015,25000,Petrol,Manual,First,1197.0,81.86,5.0,10,14.44605358435916,2272.7272727272725,19.1
2011,45000,Diesel,Manual,First,1364.0,87.2,5.0,14,15.46485260770975,3000.0,21.43
2018,22987,Petrol,Manual,First,1198.0,73.9,5.0,7,15.994659546061413,2873.375,16.47
2009,48725,Petrol,Manual,First,1086.0,68.05,5.0,16,15.727733526430123,2866.176470588235,19.81
2013,42500,Petrol,Manual,First,1197.0,81.86,5.0,12,14.44605358435916,3269.230769230769,18.9
2014,35000,Petrol,Automatic,First,1591.0,121.4,5.0,11,12.998366013071895,2916.6666666666665,17.1
2014,56000,Diesel,Manual,Second,1399.0,68.0,5.0,11,20.27536231884058,4666.666666666667,17.8
2014,10000,Diesel,Manual,First,2179.0,138.03,5.0,11,15.672876357620657,833.3333333333334,13.49
2010,15669,Petrol,Manual,First,998.0,67.1,5.0,15,14.654919236417035,979.3125,20.92
2016,55331,Diesel,Automatic,First,1968.0,174.33,5.0,9,11.224547995209033,5533.1,17.68
2015,44535,Diesel,Manual,First,1461.0,83.8,5.0,10,17.22877358490566,4048.6363636363635,20.46
2012,74000,Diesel,Manual,First,2498.0,105.0,7.0,13,23.566037735849058,5285.714285714285,16.55
2014,77901,Diesel,Manual,First,2494.0,100.6,7.0,11,24.54724409448819,6491.75,12.99
2010,58186,Petrol,Manual,First,1298.0,85.8,5.0,15,14.953917050691246,3636.625,17.5
2010,30000,Petrol,Manual,First,1598.0,102.0,5.0,15,15.514563106796116,1875.0,14.2
2012,90000,Diesel,Manual,First,1364.0,93.7,5.0,13,14.667842445620222,6428.571428571428,23.59
2018,14730,Petrol,Automatic,First,1999.0,246.74,5.0,7,8.06894324695245,1841.25,13.5
2013,40000,Petrol,Manual,Second,796.0,46.3,5.0,12,16.82875264270613,3076.923076923077,19.7
2007,88107,Petrol,Manual,Second,1150.0,74.9,5.0,18,15.15151515151515,4637.210526315789,15.26
2012,53226,Diesel,Manual,Second,1498.0,108.5,5.0,13,13.680365296803654,3801.8571428571427,20.64
2013,76000,Diesel,Manual,First,1248.0,74.0,5.0,12,16.64,5846.153846153846,25.2
2008,200000,Diesel,Manual,Second,2494.0,102.0,8.0,17,24.21359223300971,11111.111111111111,12.8
2013,73000,Diesel,Automatic,First,2143.0,203.0,5.0,12,10.504901960784315,5615.384615384615,14.21
2009,77200,Petrol,Manual,Second,1495.0,94.0,5.0,16,15.736842105263158,4541.176470588235,13.2
2012,67000,Diesel,Automatic,Second,1968.0,140.8,5.0,13,13.8787023977433,4785.714285714285,15.2
2005,150000,Diesel,Manual,Second,2499.0,80.0,10.0,20,30.85185185185185,7142.857142857143,14.8
